event_type,latitude,longitude,requires_road_closure,priority,status,corridor,zone,junction,resolution_minutes,planned_duration_minutes,hour_of_day,day_of_week,is_peak_hour,is_weekend,corridor_rank,junction_recurrence,event_cause_enc,veh_type_enc,zone_enc
unplanned,13.0400041,77.5180991,0,High,closed,Tumkur Road,unknown,unknown,700.3774083333333,,17.0,3.0,1,0,400,4974,11,4,10
unplanned,12.9218755,77.6451585,0,High,resolved,ORR East 1,unknown,unknown,700.3774083333333,,4.0,1.0,0,0,223,4974,11,2,10
unplanned,12.955622,77.5857083,0,Low,closed,Non-corridor,Central Zone 2,UrvashiJunction,700.3774083333333,,6.0,5.0,0,1,2756,3,4,10,1
unplanned,13.0061469,77.5794348,1,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,17.0,3.0,1,0,2756,4974,10,10,10
unplanned,12.95398,77.5852333,0,Low,closed,Non-corridor,unknown,LalbaghMainGateJunc,700.3774083333333,,4.0,1.0,0,0,2756,5,11,6,10
unplanned,13.0664854,77.5998755,0,Low,closed,Non-corridor,North Zone 1,unknown,700.3774083333333,,3.0,1.0,0,0,2756,4974,1,10,4
unplanned,12.9328703,77.4879814,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,7.0,1.0,1,0,2756,4974,11,1,10
unplanned,12.973175,77.6003961,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,6.0,1.0,0,0,2756,4974,4,10,10
planned,12.97883573,77.59953728,0,High,closed,CBD 2,unknown,QueensStatueCircle,700.3774083333333,700.3774083333333,,,0,0,94,8,8,10,10
unplanned,13.0373543,77.6540442,0,Low,closed,Non-corridor,unknown,unknown,700.3774083333333,,5.0,1.0,0,0,2756,4974,11,4,10
unplanned,13.0008457,77.6813712,0,High,closed,ORR East 2,unknown,unknown,700.3774083333333,,18.0,3.0,1,0,179,4974,13,10,10
unplanned,12.94457,77.5274017,0,High,closed,ORR West 1,unknown,MysoreRd-RingRdJunc(Nayandanahallii),700.3774083333333,,5.0,1.0,0,0,140,17,11,7,10
unplanned,12.9995223,77.6827499,0,High,active,ORR East 2,unknown,unknown,700.3774083333333,,18.0,3.0,1,0,179,4974,13,10,10
unplanned,13.0418933,77.594705,0,High,closed,ORR North 1,North Zone 1,HebbalFlyoverJunc,700.3774083333333,,19.0,1.0,1,0,239,27,4,10,4
unplanned,12.975285,77.6256902,0,High,active,Old Madras Road,unknown,unknown,700.3774083333333,,19.0,3.0,1,0,241,4974,5,10,10
unplanned,13.0633917,77.5933483,0,High,active,Bellary Road 2,unknown,unknown,700.3774083333333,,19.0,3.0,1,0,329,4974,4,10,10
unplanned,13.063425,77.5933,0,High,active,Bellary Road 2,unknown,unknown,700.3774083333333,,19.0,3.0,1,0,329,4974,4,10,10
